Asset,Horizon,Model,Feature,Rank,MaxRank
GSPC,spot,RF,surp_tradebal,14,14
GSPC,spot,RF,surp_indprod,7,14
GSPC,spot,RF,surp_fedratedec,1,14
RUT,spot,Fwd (Cp),surp_nfp,0,14
RUT,spot,Fwd (Cp),surp_unemp,0,14
RUT,spot,Fwd (Cp),surp_corecpi,12,14
RUT,spot,Fwd (Cp),surp_gdp,0,14
RUT,spot,Fwd (Cp),surp_retsales,7,14
RUT,spot,Fwd (Cp),surp_ism_pmi,10,14
RUT,spot,Fwd (Cp),surp_dgorders,8,14
RUT,spot,Fwd (Cp),surp_newhomesales,14,14
RUT,spot,Fwd (Cp),surp_consconfid,11,14
RUT,spot,Fwd (Cp),surp_avghourlyearnings,0,14
RUT,spot,Fwd (Cp),surp_cpi,0,14
RUT,spot,Fwd (Cp),surp_tradebal,13,14
RUT,spot,Fwd (Cp),surp_indprod,9,14
RUT,spot,Fwd (Cp),surp_fedratedec,0,14
RUT,spot,Fwd (CV),surp_nfp,0,14
RUT,spot,Fwd (CV),surp_unemp,0,14
RUT,spot,Fwd (CV),surp_corecpi,0,14
RUT,spot,Fwd (CV),surp_gdp,0,14
RUT,spot,Fwd (CV),surp_retsales,0,14
RUT,spot,Fwd (CV),surp_ism_pmi,0,14
RUT,spot,Fwd (CV),surp_dgorders,0,14
RUT,spot,Fwd (CV),surp_newhomesales,0,14
RUT,spot,Fwd (CV),surp_consconfid,0,14
RUT,spot,Fwd (CV),surp_avghourlyearnings,0,14
RUT,spot,Fwd (CV),surp_cpi,0,14
RUT,spot,Fwd (CV),surp_tradebal,0,14
RUT,spot,Fwd (CV),surp_indprod,0,14
RUT,spot,Fwd (CV),surp_fedratedec,0,14
RUT,spot,Bwd (Cp),surp_nfp,0,14
RUT,spot,Bwd (Cp),surp_unemp,0,14
RUT,spot,Bwd (Cp),surp_corecpi,12,14
RUT,spot,Bwd (Cp),surp_gdp,0,14
RUT,spot,Bwd (Cp),surp_retsales,8,14
RUT,spot,Bwd (Cp),surp_ism_pmi,10,14
RUT,spot,Bwd (Cp),surp_dgorders,0,14
RUT,spot,Bwd (Cp),surp_newhomesales,14,14
RUT,spot,Bwd (Cp),surp_consconfid,11,14
RUT,spot,Bwd (Cp),surp_avghourlyearnings,0,14
RUT,spot,Bwd (Cp),surp_cpi,0,14
RUT,spot,Bwd (Cp),surp_tradebal,13,14
RUT,spot,Bwd (Cp),surp_indprod,9,14
RUT,spot,Bwd (Cp),surp_fedratedec,0,14
RUT,spot,Bwd (CV),surp_nfp,0,14
RUT,spot,Bwd (CV),surp_unemp,0,14
RUT,spot,Bwd (CV),surp_corecpi,0,14
RUT,spot,Bwd (CV),surp_gdp,0,14
RUT,spot,Bwd (CV),surp_retsales,0,14
RUT,spot,Bwd (CV),surp_ism_pmi,0,14
RUT,spot,Bwd (CV),surp_dgorders,0,14
RUT,spot,Bwd (CV),surp_newhomesales,0,14
RUT,spot,Bwd (CV),surp_consconfid,0,14
RUT,spot,Bwd (CV),surp_avghourlyearnings,0,14
RUT,spot,Bwd (CV),surp_cpi,0,14
RUT,spot,Bwd (CV),surp_tradebal,0,14
RUT,spot,Bwd (CV),surp_indprod,0,14
RUT,spot,Bwd (CV),surp_fedratedec,0,14
RUT,spot,Lasso,surp_nfp,0,14
RUT,spot,Lasso,surp_unemp,0,14
RUT,spot,Lasso,surp_corecpi,0,14
RUT,spot,Lasso,surp_gdp,0,14
RUT,spot,Lasso,surp_retsales,0,14
RUT,spot,Lasso,surp_ism_pmi,0,14
RUT,spot,Lasso,surp_dgorders,0,14
RUT,spot,Lasso,surp_newhomesales,0,14
RUT,spot,Lasso,surp_consconfid,0,14
RUT,spot,Lasso,surp_avghourlyearnings,0,14
RUT,spot,Lasso,surp_cpi,0,14
RUT,spot,Lasso,surp_tradebal,0,14
RUT,spot,Lasso,surp_indprod,0,14
RUT,spot,Lasso,surp_fedratedec,0,14
RUT,spot,Ridge,surp_nfp,0,14
RUT,spot,Ridge,surp_unemp,0,14
RUT,spot,Ridge,surp_corecpi,0,14
RUT,spot,Ridge,surp_gdp,0,14
RUT,spot,Ridge,surp_retsales,0,14
RUT,spot,Ridge,surp_ism_pmi,0,14
RUT,spot,Ridge,surp_dgorders,0,14
RUT,spot,Ridge,surp_newhomesales,0,14
RUT,spot,Ridge,surp_consconfid,0,14
RUT,spot,Ridge,surp_avghourlyearnings,0,14
RUT,spot,Ridge,surp_cpi,0,14
RUT,spot,Ridge,surp_tradebal,0,14
RUT,spot,Ridge,surp_indprod,0,14
RUT,spot,Ridge,surp_fedratedec,0,14
RUT,spot,LGB,surp_nfp,14,14
RUT,spot,LGB,surp_unemp,13,14
RUT,spot,LGB,surp_corecpi,12,14
RUT,spot,LGB,surp_gdp,11,14
RUT,spot,LGB,surp_retsales,10,14
RUT,spot,LGB,surp_ism_pmi,9,14
RUT,spot,LGB,surp_dgorders,8,14
RUT,spot,LGB,surp_newhomesales,7,14
RUT,spot,LGB,surp_consconfid,6,14
RUT,spot,LGB,surp_avghourlyearnings,5,14
RUT,spot,LGB,surp_cpi,4,14
RUT,spot,LGB,surp_tradebal,3,14
RUT,spot,LGB,surp_indprod,2,14
RUT,spot,LGB,surp_fedratedec,1,14
RUT,spot,RF,surp_nfp,10,14
RUT,spot,RF,surp_unemp,6,14
RUT,spot,RF,surp_corecpi,3,14
RUT,spot,RF,surp_gdp,2,14
RUT,spot,RF,surp_retsales,8,14
RUT,spot,RF,surp_ism_pmi,11,14
RUT,spot,RF,surp_dgorders,13,14
RUT,spot,RF,surp_newhomesales,9,14
RUT,spot,RF,surp_consconfid,12,14
RUT,spot,RF,surp_avghourlyearnings,5,14
RUT,spot,RF,surp_cpi,4,14
RUT,spot,RF,surp_tradebal,14,14
RUT,spot,RF,surp_indprod,7,14
RUT,spot,RF,surp_fedratedec,1,14
XLE,spot,Fwd (Cp),surp_nfp,0,14
XLE,spot,Fwd (Cp),surp_unemp,0,14
XLE,spot,Fwd (Cp),surp_corecpi,13,14
XLE,spot,Fwd (Cp),surp_gdp,0,14
XLE,spot,Fwd (Cp),surp_retsales,9,14
XLE,spot,Fwd (Cp),surp_ism_pmi,0,14
XLE,spot,Fwd (Cp),surp_dgorders,0,14
XLE,spot,Fwd (Cp),surp_newhomesales,14,14
XLE,spot,Fwd (Cp),surp_consconfid,11,14
XLE,spot,Fwd (Cp),surp_avghourlyearnings,0,14
XLE,spot,Fwd (Cp),surp_cpi,0,14
XLE,spot,Fwd (Cp),surp_tradebal,12,14
XLE,spot,Fwd (Cp),surp_indprod,8,14
XLE,spot,Fwd (Cp),surp_fedratedec,10,14
XLE,spot,Fwd (CV),surp_nfp,0,14
XLE,spot,Fwd (CV),surp_unemp,0,14
XLE,spot,Fwd (CV),surp_corecpi,0,14
XLE,spot,Fwd (CV),surp_gdp,0,14
XLE,spot,Fwd (CV),surp_retsales,0,14
XLE,spot,Fwd (CV),surp_ism_pmi,0,14
XLE,spot,Fwd (CV),surp_dgorders,0,14
XLE,spot,Fwd (CV),surp_newhomesales,0,14
XLE,spot,Fwd (CV),surp_consconfid,0,14
XLE,spot,Fwd (CV),surp_avghourlyearnings,0,14
XLE,spot,Fwd (CV),surp_cpi,0,14
XLE,spot,Fwd (CV),surp_tradebal,0,14
XLE,spot,Fwd (CV),surp_indprod,0,14
XLE,spot,Fwd (CV),surp_fedratedec,0,14
XLE,spot,Bwd (Cp),surp_nfp,0,14
XLE,spot,Bwd (Cp),surp_unemp,0,14
XLE,spot,Bwd (Cp),surp_corecpi,13,14
XLE,spot,Bwd (Cp),surp_gdp,0,14
XLE,spot,Bwd (Cp),surp_retsales,9,14
XLE,spot,Bwd (Cp),surp_ism_pmi,0,14
XLE,spot,Bwd (Cp),surp_dgorders,0,14
XLE,spot,Bwd (Cp),surp_newhomesales,14,14
XLE,spot,Bwd (Cp),surp_consconfid,11,14
XLE,spot,Bwd (Cp),surp_avghourlyearnings,0,14
XLE,spot,Bwd (Cp),surp_cpi,0,14
