Asset,Horizon,Model,Feature,Rank,MaxRank
CADUSD,cum5,Fwd (Cp),surp_nfp,8,14
CADUSD,cum5,Fwd (Cp),surp_unemp,12,14
CADUSD,cum5,Fwd (Cp),surp_corecpi,10,14
CADUSD,cum5,Fwd (Cp),surp_gdp,0,14
CADUSD,cum5,Fwd (Cp),surp_retsales,9,14
CADUSD,cum5,Fwd (Cp),surp_ism_pmi,11,14
CADUSD,cum5,Fwd (Cp),surp_dgorders,0,14
CADUSD,cum5,Fwd (Cp),surp_newhomesales,14,14
CADUSD,cum5,Fwd (Cp),surp_consconfid,0,14
CADUSD,cum5,Fwd (Cp),surp_avghourlyearnings,13,14
CADUSD,cum5,Fwd (Cp),surp_cpi,0,14
CADUSD,cum5,Fwd (Cp),surp_tradebal,7,14
CADUSD,cum5,Fwd (Cp),surp_indprod,6,14
CADUSD,cum5,Fwd (Cp),surp_fedratedec,0,14
CADUSD,cum5,Fwd (CV),surp_nfp,0,14
CADUSD,cum5,Fwd (CV),surp_unemp,0,14
CADUSD,cum5,Fwd (CV),surp_corecpi,0,14
CADUSD,cum5,Fwd (CV),surp_gdp,0,14
CADUSD,cum5,Fwd (CV),surp_retsales,0,14
CADUSD,cum5,Fwd (CV),surp_ism_pmi,0,14
CADUSD,cum5,Fwd (CV),surp_dgorders,0,14
CADUSD,cum5,Fwd (CV),surp_newhomesales,0,14
CADUSD,cum5,Fwd (CV),surp_consconfid,0,14
CADUSD,cum5,Fwd (CV),surp_avghourlyearnings,0,14
CADUSD,cum5,Fwd (CV),surp_cpi,0,14
CADUSD,cum5,Fwd (CV),surp_tradebal,0,14
CADUSD,cum5,Fwd (CV),surp_indprod,0,14
CADUSD,cum5,Fwd (CV),surp_fedratedec,0,14
CADUSD,cum5,Bwd (Cp),surp_nfp,8,14
CADUSD,cum5,Bwd (Cp),surp_unemp,12,14
CADUSD,cum5,Bwd (Cp),surp_corecpi,10,14
CADUSD,cum5,Bwd (Cp),surp_gdp,0,14
CADUSD,cum5,Bwd (Cp),surp_retsales,9,14
CADUSD,cum5,Bwd (Cp),surp_ism_pmi,11,14
CADUSD,cum5,Bwd (Cp),surp_dgorders,0,14
CADUSD,cum5,Bwd (Cp),surp_newhomesales,14,14
CADUSD,cum5,Bwd (Cp),surp_consconfid,0,14
CADUSD,cum5,Bwd (Cp),surp_avghourlyearnings,13,14
CADUSD,cum5,Bwd (Cp),surp_cpi,0,14
CADUSD,cum5,Bwd (Cp),surp_tradebal,7,14
CADUSD,cum5,Bwd (Cp),surp_indprod,6,14
CADUSD,cum5,Bwd (Cp),surp_fedratedec,0,14
CADUSD,cum5,Bwd (CV),surp_nfp,0,14
CADUSD,cum5,Bwd (CV),surp_unemp,0,14
CADUSD,cum5,Bwd (CV),surp_corecpi,0,14
CADUSD,cum5,Bwd (CV),surp_gdp,0,14
CADUSD,cum5,Bwd (CV),surp_retsales,0,14
CADUSD,cum5,Bwd (CV),surp_ism_pmi,0,14
CADUSD,cum5,Bwd (CV),surp_dgorders,0,14
CADUSD,cum5,Bwd (CV),surp_newhomesales,0,14
CADUSD,cum5,Bwd (CV),surp_consconfid,0,14
CADUSD,cum5,Bwd (CV),surp_avghourlyearnings,0,14
CADUSD,cum5,Bwd (CV),surp_cpi,0,14
CADUSD,cum5,Bwd (CV),surp_tradebal,0,14
CADUSD,cum5,Bwd (CV),surp_indprod,0,14
CADUSD,cum5,Bwd (CV),surp_fedratedec,0,14
CADUSD,cum5,Lasso,surp_nfp,0,14
CADUSD,cum5,Lasso,surp_unemp,0,14
CADUSD,cum5,Lasso,surp_corecpi,0,14
CADUSD,cum5,Lasso,surp_gdp,0,14
CADUSD,cum5,Lasso,surp_retsales,0,14
CADUSD,cum5,Lasso,surp_ism_pmi,0,14
CADUSD,cum5,Lasso,surp_dgorders,0,14
CADUSD,cum5,Lasso,surp_newhomesales,0,14
CADUSD,cum5,Lasso,surp_consconfid,0,14
CADUSD,cum5,Lasso,surp_avghourlyearnings,0,14
CADUSD,cum5,Lasso,surp_cpi,0,14
CADUSD,cum5,Lasso,surp_tradebal,0,14
CADUSD,cum5,Lasso,surp_indprod,0,14
CADUSD,cum5,Lasso,surp_fedratedec,0,14
CADUSD,cum5,Ridge,surp_nfp,0,14
CADUSD,cum5,Ridge,surp_unemp,0,14
CADUSD,cum5,Ridge,surp_corecpi,0,14
CADUSD,cum5,Ridge,surp_gdp,0,14
CADUSD,cum5,Ridge,surp_retsales,0,14
CADUSD,cum5,Ridge,surp_ism_pmi,0,14
CADUSD,cum5,Ridge,surp_dgorders,0,14
CADUSD,cum5,Ridge,surp_newhomesales,0,14
CADUSD,cum5,Ridge,surp_consconfid,0,14
CADUSD,cum5,Ridge,surp_avghourlyearnings,0,14
CADUSD,cum5,Ridge,surp_cpi,0,14
CADUSD,cum5,Ridge,surp_tradebal,0,14
CADUSD,cum5,Ridge,surp_indprod,0,14
CADUSD,cum5,Ridge,surp_fedratedec,0,14
CADUSD,cum5,LGB,surp_nfp,7,14
CADUSD,cum5,LGB,surp_unemp,0,14
CADUSD,cum5,LGB,surp_corecpi,0,14
CADUSD,cum5,LGB,surp_gdp,0,14
CADUSD,cum5,LGB,surp_retsales,3,14
CADUSD,cum5,LGB,surp_ism_pmi,9,14
CADUSD,cum5,LGB,surp_dgorders,4,14
CADUSD,cum5,LGB,surp_newhomesales,8,14
CADUSD,cum5,LGB,surp_consconfid,6,14
CADUSD,cum5,LGB,surp_avghourlyearnings,0,14
CADUSD,cum5,LGB,surp_cpi,1,14
CADUSD,cum5,LGB,surp_tradebal,5,14
CADUSD,cum5,LGB,surp_indprod,2,14
CADUSD,cum5,LGB,surp_fedratedec,0,14
CADUSD,cum5,RF,surp_nfp,7,14
CADUSD,cum5,RF,surp_unemp,0,14
CADUSD,cum5,RF,surp_corecpi,5,14
CADUSD,cum5,RF,surp_gdp,0,14
CADUSD,cum5,RF,surp_retsales,4,14
CADUSD,cum5,RF,surp_ism_pmi,3,14
CADUSD,cum5,RF,surp_dgorders,9,14
CADUSD,cum5,RF,surp_newhomesales,6,14
CADUSD,cum5,RF,surp_consconfid,1,14
CADUSD,cum5,RF,surp_avghourlyearnings,0,14
CADUSD,cum5,RF,surp_cpi,8,14
CADUSD,cum5,RF,surp_tradebal,2,14
CADUSD,cum5,RF,surp_indprod,0,14
CADUSD,cum5,RF,surp_fedratedec,0,14
GBPUSD,cum5,Fwd (Cp),surp_nfp,0,14
GBPUSD,cum5,Fwd (Cp),surp_unemp,14,14
GBPUSD,cum5,Fwd (Cp),surp_corecpi,12,14
GBPUSD,cum5,Fwd (Cp),surp_gdp,0,14
GBPUSD,cum5,Fwd (Cp),surp_retsales,13,14
GBPUSD,cum5,Fwd (Cp),surp_ism_pmi,0,14
GBPUSD,cum5,Fwd (Cp),surp_dgorders,0,14
GBPUSD,cum5,Fwd (Cp),surp_newhomesales,11,14
GBPUSD,cum5,Fwd (Cp),surp_consconfid,8,14
GBPUSD,cum5,Fwd (Cp),surp_avghourlyearnings,0,14
GBPUSD,cum5,Fwd (Cp),surp_cpi,0,14
GBPUSD,cum5,Fwd (Cp),surp_tradebal,9,14
GBPUSD,cum5,Fwd (Cp),surp_indprod,10,14
GBPUSD,cum5,Fwd (Cp),surp_fedratedec,0,14
GBPUSD,cum5,Fwd (CV),surp_nfp,0,14
GBPUSD,cum5,Fwd (CV),surp_unemp,0,14
GBPUSD,cum5,Fwd (CV),surp_corecpi,0,14
GBPUSD,cum5,Fwd (CV),surp_gdp,0,14
GBPUSD,cum5,Fwd (CV),surp_retsales,0,14
GBPUSD,cum5,Fwd (CV),surp_ism_pmi,0,14
GBPUSD,cum5,Fwd (CV),surp_dgorders,0,14
GBPUSD,cum5,Fwd (CV),surp_newhomesales,0,14
GBPUSD,cum5,Fwd (CV),surp_consconfid,0,14
GBPUSD,cum5,Fwd (CV),surp_avghourlyearnings,0,14
GBPUSD,cum5,Fwd (CV),surp_cpi,0,14
GBPUSD,cum5,Fwd (CV),surp_tradebal,0,14
GBPUSD,cum5,Fwd (CV),surp_indprod,0,14
GBPUSD,cum5,Fwd (CV),surp_fedratedec,0,14
GBPUSD,cum5,Bwd (Cp),surp_nfp,11,14
GBPUSD,cum5,Bwd (Cp),surp_unemp,14,14
GBPUSD,cum5,Bwd (Cp),surp_corecpi,10,14
GBPUSD,cum5,Bwd (Cp),surp_gdp,0,14
GBPUSD,cum5,Bwd (Cp),surp_retsales,12,14
GBPUSD,cum5,Bwd (Cp),surp_ism_pmi,0,14
