Method,Variable,Coef,HAC SE,t-stat,p-value,target
Fwd (Cp),surp_gdp,-0.0002919925542150101,0.00011604062211834533,-2.5162960081101446,0.011998823249146726,ret_CADUSD
Fwd (Cp),surp_retsailes_x_vix,0.0004430130381592073,0.00019979896083897699,2.2172940054290007,0.02680371407915213,ret_CADUSD
Fwd (Cp),surp_ism_pmi_x_vix,-0.00041021238124296815,0.0002640906805155398,-1.5533012389614793,0.12063445437486703,ret_CADUSD
Fwd (Cp),surp_dgorders_x_vix,0.000417250799194178,0.00037277916935145615,1.119297518474789,0.26325386377695553,ret_CADUSD
Fwd (Cp),surp_consconfid_x_vix,0.0002712675847913825,0.00012285853692887378,2.2079669152207697,0.027449180109983658,ret_CADUSD
Bwd (Cp),surp_gdp,-0.0002922686041104361,0.00011634874744829914,-2.5120047316393235,0.012145250079581787,ret_CADUSD
Bwd (Cp),surp_corecpi_x_vix,0.00042294652032363525,0.0002096402683409127,2.0174870203650395,0.04388415161099992,ret_CADUSD
Bwd (Cp),surp_retsailes_x_vix,0.00044256848163880497,0.00020041971719603042,2.2082082932285996,0.02743285418852107,ret_CADUSD
Bwd (Cp),surp_ism_pmi_x_vix,-0.00041079407347710675,0.00026420342872642287,-1.5548400543373546,0.12026819978859701,ret_CADUSD
Bwd (Cp),surp_dgorders_x_vix,0.00041737195912039366,0.00037287284453198395,1.1193412586649032,0.26323586616002204,ret_CADUSD
Bwd (Cp),surp_consconfid_x_vix,0.0002706909424512764,0.00012343241031723741,2.193029705533298,0.02851141071715955,ret_CADUSD
Bwd (Cp),surp_cpi_x_vix,-0.0003337637126176796,0.0003057646486613893,-1.091570638001704,0.27525789078371327,ret_CADUSD
Bwd (Cp),surp_indprod_x_vix,-0.0001242246757581996,7.392871930409489e-05,-1.6803304172931728,0.09317340299451023,ret_CADUSD
Ridge,surp_nfp,-3.2740849314120474e-06,,,,ret_CADUSD
Ridge,surp_unemp,5.768154079662083e-06,,,,ret_CADUSD
Ridge,surp_corecpi,-2.1393587152294753e-06,,,,ret_CADUSD
Ridge,surp_gdp,-8.588410502588544e-06,,,,ret_CADUSD
Ridge,surp_retsailes,4.237078282901119e-06,,,,ret_CADUSD
Ridge,surp_ism_pmi,-5.06619287510727e-06,,,,ret_CADUSD
Ridge,surp_dgorders,2.5081086319826754e-06,,,,ret_CADUSD
Ridge,surp_newhomesales,4.673194762018564e-06,,,,ret_CADUSD
Ridge,surp_consconfid,8.074972528003161e-06,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings,-5.7558959879799165e-06,,,,ret_CADUSD
Ridge,surp_cpi,-2.421175174261075e-07,,,,ret_CADUSD
Ridge,surp_tradebal,7.214077527352508e-07,,,,ret_CADUSD
Ridge,surp_indprod,-5.882762145515645e-06,,,,ret_CADUSD
Ridge,VIXCLS,-2.148613619503581e-06,,,,ret_CADUSD
Ridge,surp_nfp_x_vix,-1.7416222437493704e-06,,,,ret_CADUSD
Ridge,surp_unemp_x_vix,4.746147518412998e-06,,,,ret_CADUSD
Ridge,surp_corecpi_x_vix,1.0564339010059404e-05,,,,ret_CADUSD
Ridge,surp_gdp_x_vix,-2.95521962531418e-06,,,,ret_CADUSD
Ridge,surp_retsailes_x_vix,3.0025938580846004e-05,,,,ret_CADUSD
Ridge,surp_ism_pmi_x_vix,-1.3310254364668537e-05,,,,ret_CADUSD
Ridge,surp_dgorders_x_vix,1.2925596175537954e-05,,,,ret_CADUSD
Ridge,surp_newhomesales_x_vix,-3.3246023941209854e-07,,,,ret_CADUSD
Ridge,surp_consconfid_x_vix,1.8030686144115458e-05,,,,ret_CADUSD
Ridge,surp_avghourlyearnmings_x_vix,-4.7128896535821885e-06,,,,ret_CADUSD
Ridge,surp_cpi_x_vix,-8.600307798130187e-06,,,,ret_CADUSD
Ridge,surp_tradebal_x_vix,3.1643330456799903e-06,,,,ret_CADUSD
Ridge,surp_indprod_x_vix,-1.1799246157654087e-05,,,,ret_CADUSD
Lasso,surp_retsailes_x_vix,0.00015817258057284237,,,,ret_CADUSD
Fwd (Cp),surp_nfp,-0.0007280494067256948,0.0003010499146042168,-2.41836775699752,0.015750584374275338,ret_EURUSD
Fwd (Cp),surp_unemp,0.0006812722421882311,0.00024492871572718,2.781512327640191,0.005502309591337811,ret_EURUSD
Fwd (Cp),surp_gdp,-0.0003240323408905058,0.00017346105637220874,-1.8680408598181524,0.062019928337925974,ret_EURUSD
Fwd (Cp),surp_consconfid,0.0003013141530256503,0.00014454560257675978,2.084561187986607,0.03733751269387655,ret_EURUSD
Fwd (Cp),surp_avghourlyearnmings,-0.00046759524895124635,0.00025008920093741867,-1.8697138748836082,0.061786893745587816,ret_EURUSD
Fwd (Cp),surp_tradebal,-0.0002845319965075133,0.00023909586837606855,-1.1900330960967476,0.23428807421184467,ret_EURUSD
Fwd (Cp),surp_corecpi_x_vix,0.0003311380799160348,0.00027685010527309594,1.1960915802773022,0.23191648653686633,ret_EURUSD
Fwd (Cp),surp_gdp_x_vix,-0.000375665096895288,0.00017142543769419182,-2.1914197912998308,0.02862885665660994,ret_EURUSD
Fwd (Cp),surp_retsailes_x_vix,0.00021756798516466632,0.00013522563782879002,1.6089255606997426,0.10791722877398081,ret_EURUSD
Fwd (Cp),surp_ism_pmi_x_vix,0.00025925161245686506,0.00019598512124729812,1.3228127258177724,0.18617036105945306,ret_EURUSD
Fwd (Cp),surp_avghourlyearnmings_x_vix,-0.00042156974087068815,0.00032312715241013213,-1.3046558846147565,0.19228071670611357,ret_EURUSD
Fwd (Cp),surp_cpi_x_vix,-0.0004119566527549215,0.00032784207228180116,-1.2565704269976017,0.20917384002023878,ret_EURUSD
Bwd (Cp),surp_nfp,-0.0007280494067256948,0.0003010499146042168,-2.41836775699752,0.015750584374275338,ret_EURUSD
Bwd (Cp),surp_unemp,0.0006812722421882311,0.00024492871572718,2.781512327640191,0.005502309591337811,ret_EURUSD
Bwd (Cp),surp_gdp,-0.0003240323408905058,0.00017346105637220874,-1.8680408598181524,0.062019928337925974,ret_EURUSD
Bwd (Cp),surp_consconfid,0.0003013141530256503,0.00014454560257675978,2.084561187986607,0.03733751269387655,ret_EURUSD
Bwd (Cp),surp_avghourlyearnmings,-0.00046759524895124635,0.00025008920093741867,-1.8697138748836082,0.061786893745587816,ret_EURUSD
Bwd (Cp),surp_tradebal,-0.0002845319965075133,0.00023909586837606855,-1.1900330960967476,0.23428807421184467,ret_EURUSD
Bwd (Cp),surp_corecpi_x_vix,0.0003311380799160348,0.00027685010527309594,1.1960915802773022,0.23191648653686633,ret_EURUSD
Bwd (Cp),surp_gdp_x_vix,-0.000375665096895288,0.00017142543769419182,-2.1914197912998308,0.02862885665660994,ret_EURUSD
Bwd (Cp),surp_retsailes_x_vix,0.00021756798516466632,0.00013522563782879002,1.6089255606997426,0.10791722877398081,ret_EURUSD
Bwd (Cp),surp_ism_pmi_x_vix,0.00025925161245686506,0.00019598512124729812,1.3228127258177724,0.18617036105945306,ret_EURUSD
Bwd (Cp),surp_avghourlyearnmings_x_vix,-0.00042156974087068815,0.00032312715241013213,-1.3046558846147565,0.19228071670611357,ret_EURUSD
Bwd (Cp),surp_cpi_x_vix,-0.0004119566527549215,0.00032784207228180116,-1.2565704269976017,0.20917384002023878,ret_EURUSD
Ridge,surp_nfp,-1.8651622949034596e-05,,,,ret_EURUSD
Ridge,surp_unemp,1.6348880968785596e-05,,,,ret_EURUSD
Ridge,surp_corecpi,-3.0153946522516425e-06,,,,ret_EURUSD
Ridge,surp_gdp,-1.494049744741939e-05,,,,ret_EURUSD
Ridge,surp_retsailes,5.603442504206348e-06,,,,ret_EURUSD
Ridge,surp_ism_pmi,-6.3065750483650255e-06,,,,ret_EURUSD
Ridge,surp_dgorders,5.0947139005309225e-06,,,,ret_EURUSD
Ridge,surp_newhomesales,-3.4234118012944466e-07,,,,ret_EURUSD
Ridge,surp_consconfid,8.593659127888473e-06,,,,ret_EURUSD
Ridge,surp_avghourlyearnmings,-1.212654186448744e-05,,,,ret_EURUSD
Ridge,surp_cpi,-3.968322878501903e-06,,,,ret_EURUSD
Ridge,surp_tradebal,-9.240195937011863e-06,,,,ret_EURUSD
Ridge,surp_indprod,-1.8045188721300283e-06,,,,ret_EURUSD
Ridge,VIXCLS,-2.1566437993136893e-06,,,,ret_EURUSD
Ridge,surp_nfp_x_vix,1.1343997060514392e-05,,,,ret_EURUSD
Ridge,surp_unemp_x_vix,3.147641005247678e-06,,,,ret_EURUSD
Ridge,surp_corecpi_x_vix,7.2958375604896574e-06,,,,ret_EURUSD
Ridge,surp_gdp_x_vix,-1.6365700710850478e-05,,,,ret_EURUSD
Ridge,surp_retsailes_x_vix,1.6558357824800348e-05,,,,ret_EURUSD
Ridge,surp_ism_pmi_x_vix,9.807308088931243e-06,,,,ret_EURUSD
Ridge,surp_dgorders_x_vix,7.249474216945503e-06,,,,ret_EURUSD
Ridge,surp_newhomesales_x_vix,2.325531494284496e-06,,,,ret_EURUSD
Ridge,surp_consconfid_x_vix,1.008880034242689e-05,,,,ret_EURUSD
Ridge,surp_avghourlyearnmings_x_vix,-4.894582890625728e-06,,,,ret_EURUSD
Ridge,surp_cpi_x_vix,-1.6243892768038407e-05,,,,ret_EURUSD
Ridge,surp_tradebal_x_vix,-7.740998348920412e-06,,,,ret_EURUSD
Ridge,surp_indprod_x_vix,-4.377029638748397e-06,,,,ret_EURUSD
Fwd (Cp),surp_nfp,-0.0005534626573550643,0.00019276419875456456,-2.8711900909554062,0.004166711881801165,ret_GBPUSD
Fwd (Cp),surp_unemp,0.0004471669361100472,0.0001433674031574704,3.1190279398371517,0.0018610628567121686,ret_GBPUSD
Fwd (Cp),surp_consconfid,0.0003698674794434732,0.00018559679853896163,1.9928548463934217,0.046520978847707395,ret_GBPUSD
Fwd (Cp),VIXCLS,-0.00042401907554100074,0.0002473785012961819,-1.7140498196863527,0.08679774663069187,ret_GBPUSD
Fwd (Cp),surp_ism_pmi_x_vix,0.00035156869649176624,0.000376298195752084,0.9342821742451026,0.35036082040786265,ret_GBPUSD
Fwd (Cp),surp_cpi_x_vix,-0.0002825693654588886,0.0001716035423091265,-1.6466406325684604,0.0999139793610344,ret_GBPUSD
Fwd (Cp),surp_tradebal_x_vix,-0.0003109905734081725,0.0002971851079712893,-1.0464540956682693,0.2955784261310391,ret_GBPUSD
Bwd (Cp),surp_nfp,-0.0005551747977973922,0.00019348788689434982,-2.8693000203187617,0.0041917889550257765,ret_GBPUSD
Bwd (Cp),surp_unemp,0.00044530931818188596,0.00014368263049304271,3.099256442158806,0.001988886233925711,ret_GBPUSD
Bwd (Cp),surp_gdp,-0.00032735105627117764,0.0002751603778329408,-1.1896736690408367,0.2344290809043079,ret_GBPUSD
Bwd (Cp),surp_newhomesales,-0.00039367453914908166,0.0001917118544264293,-2.053469986646845,0.04026091716629869,ret_GBPUSD
Bwd (Cp),surp_consconfid,0.00035390467389764146,0.0001881163713517744,1.8813071470310565,0.06019169198140835,ret_GBPUSD
Bwd (Cp),VIXCLS,-0.00045198362208303297,0.00025660994256846293,-1.7613644177580718,0.07845202723214925,ret_GBPUSD
Bwd (Cp),surp_gdp_x_vix,0.00033258620962765557,0.0003929207681035742,0.8464459927452489,0.3974864330990613,ret_GBPUSD
Bwd (Cp),surp_ism_pmi_x_vix,0.00035043036924564685,0.00037649253358076884,0.9307764111886939,0.3521716185225272,ret_GBPUSD
Bwd (Cp),surp_newhomesales_x_vix,-0.0005458394865672009,0.00031617970723292954,-1.7263583781013532,0.08456120911817197,ret_GBPUSD
Bwd (Cp),surp_cpi_x_vix,-0.000284468532487254,0.00017175242217725442,-1.6562708629149503,0.09794960759668869,ret_GBPUSD
Bwd (Cp),surp_tradebal_x_vix,-0.0003098060673366123,0.00029712704700093613,-1.0426720504365132,0.297327238417453,ret_GBPUSD
Ridge,surp_nfp,-6.076935454685852e-05,,,,ret_GBPUSD
Ridge,surp_unemp,4.655132579992419e-05,,,,ret_GBPUSD
Ridge,surp_corecpi,-3.117898367719438e-05,,,,ret_GBPUSD
Ridge,surp_gdp,-3.531317259023967e-05,,,,ret_GBPUSD
Ridge,surp_retsailes,-2.3425862714932096e-05,,,,ret_GBPUSD
Ridge,surp_ism_pmi,-1.1115956861957725e-05,,,,ret_GBPUSD
Ridge,surp_dgorders,1.0339022212728012e-05,,,,ret_GBPUSD
Ridge,surp_newhomesales,-2.28144758304383e-05,,,,ret_GBPUSD
Ridge,surp_consconfid,4.61794323520765e-05,,,,ret_GBPUSD
Ridge,surp_avghourlyearnmings,-2.8813004801499462e-05,,,,ret_GBPUSD
Ridge,surp_cpi,-1.5702135751763214e-05,,,,ret_GBPUSD
Ridge,surp_tradebal,-3.7069197401956184e-05,,,,ret_GBPUSD
Ridge,surp_indprod,-6.505593715012251e-06,,,,ret_GBPUSD
Ridge,VIXCLS,-4.834110337202097e-05,,,,ret_GBPUSD
Ridge,surp_nfp_x_vix,5.566291060830728e-06,,,,ret_GBPUSD
Ridge,surp_unemp_x_vix,-4.3671028809208006e-06,,,,ret_GBPUSD
Ridge,surp_corecpi_x_vix,3.36726080145241e-06,,,,ret_GBPUSD
Ridge,surp_gdp_x_vix,3.1322246065425586e-05,,,,ret_GBPUSD
Ridge,surp_retsailes_x_vix,2.6073456353739577e-05,,,,ret_GBPUSD
Ridge,surp_ism_pmi_x_vix,5.5120853139848474e-05,,,,ret_GBPUSD
Ridge,surp_dgorders_x_vix,5.199286460332694e-07,,,,ret_GBPUSD
Ridge,surp_newhomesales_x_vix,-1.803965461953189e-05,,,,ret_GBPUSD
Ridge,surp_consconfid_x_vix,1.749023647385709e-05,,,,ret_GBPUSD
Ridge,surp_avghourlyearnmings_x_vix,1.5796988519236592e-05,,,,ret_GBPUSD
Ridge,surp_cpi_x_vix,-6.2241923846096e-05,,,,ret_GBPUSD
Ridge,surp_tradebal_x_vix,-4.65138533474019e-05,,,,ret_GBPUSD
Ridge,surp_indprod_x_vix,-1.2348472807919572e-06,,,,ret_GBPUSD
Fwd (Cp),surp_nfp,-0.001662839595306855,0.0003739835728224714,-4.44629046874259,9.611165598757187e-06,ret_GC
Fwd (Cp),surp_unemp,0.0008291855091297477,0.00032180236620313183,2.576691771763852,0.01010300017094279,ret_GC
Fwd (Cp),surp_gdp,-0.0005765593742271788,0.00033010712192391406,-1.7465826573716552,0.08098560975569426,ret_GC
Fwd (Cp),surp_retsailes,-0.0006303166423074084,0.0004031299142563261,-1.5635571065724188,0.11820588189428559,ret_GC
Fwd (Cp),surp_dgorders,0.0006196020092078612,0.00042011686043209786,1.4748325229570391,0.1405403774017973,ret_GC
Fwd (Cp),surp_avghourlyearnmings,-0.0012301830602055902,0.0003259154776117786,-3.7745463002249617,0.00016875836875967774,ret_GC
Fwd (Cp),surp_nfp_x_vix,0.000577427586990898,0.00019976932205144503,2.8904717754520766,0.00392133177159716,ret_GC
Fwd (Cp),surp_dgorders_x_vix,0.0007420804607813887,0.0003780530514550352,1.9629003334989616,0.04990651546027059,ret_GC
Fwd (Cp),surp_indprod_x_vix,0.0002589580751138763,0.00027995722847124914,0.9249915657758079,0.3551707990205887,ret_GC
Bwd (Cp),surp_nfp,-0.001662839595306855,0.0003739835728224714,-4.44629046874259,9.611165598757187e-06,ret_GC
Bwd (Cp),surp_unemp,0.0008291855091297477,0.00032180236620313183,2.576691771763852,0.01010300017094279,ret_GC
Bwd (Cp),surp_gdp,-0.0005765593742271788,0.00033010712192391406,-1.7465826573716552,0.08098560975569426,ret_GC
Bwd (Cp),surp_retsailes,-0.0006303166423074084,0.0004031299142563261,-1.5635571065724188,0.11820588189428559,ret_GC
Bwd (Cp),surp_dgorders,0.0006196020092078612,0.00042011686043209786,1.4748325229570391,0.1405403774017973,ret_GC
Bwd (Cp),surp_avghourlyearnmings,-0.0012301830602055902,0.0003259154776117786,-3.7745463002249617,0.00016875836875967774,ret_GC
Bwd (Cp),surp_nfp_x_vix,0.000577427586990898,0.00019976932205144503,2.8904717754520766,0.00392133177159716,ret_GC
Bwd (Cp),surp_dgorders_x_vix,0.0007420804607813887,0.0003780530514550352,1.9629003334989616,0.04990651546027059,ret_GC
Bwd (Cp),surp_indprod_x_vix,0.0002589580751138763,0.00027995722847124914,0.9249915657758079,0.3551707990205887,ret_GC
Ridge,surp_nfp,-8.89184999552502e-05,,,,ret_GC
Ridge,surp_unemp,2.3462805388886306e-05,,,,ret_GC
Ridge,surp_corecpi,-5.904800383205604e-06,,,,ret_GC
Ridge,surp_gdp,-3.3275122987079446e-05,,,,ret_GC
Ridge,surp_retsailes,-3.5904155090810746e-05,,,,ret_GC
Ridge,surp_ism_pmi,-2.511959730476953e-05,,,,ret_GC
Ridge,surp_dgorders,2.4969709155497984e-05,,,,ret_GC
Ridge,surp_newhomesales,1.2740143778123444e-05,,,,ret_GC
Ridge,surp_consconfid,2.5070534755511975e-05,,,,ret_GC
Ridge,surp_avghourlyearnmings,-7.620130843492534e-05,,,,ret_GC
Ridge,surp_cpi,9.724554471312384e-06,,,,ret_GC
Ridge,surp_tradebal,-7.905359264529425e-06,,,,ret_GC
Ridge,surp_indprod,-8.282985642022792e-06,,,,ret_GC
Ridge,VIXCLS,-1.2931132108722574e-05,,,,ret_GC
Ridge,surp_nfp_x_vix,4.741717680567185e-05,,,,ret_GC
Ridge,surp_unemp_x_vix,3.5660195973233925e-05,,,,ret_GC
Ridge,surp_corecpi_x_vix,-1.8315237877525432e-06,,,,ret_GC
Ridge,surp_gdp_x_vix,1.2287735594517333e-05,,,,ret_GC
Ridge,surp_retsailes_x_vix,-2.2488545485436913e-05,,,,ret_GC
Ridge,surp_ism_pmi_x_vix,2.223514290788102e-05,,,,ret_GC
Ridge,surp_dgorders_x_vix,3.13644470492532e-05,,,,ret_GC
Ridge,surp_newhomesales_x_vix,1.0971241991001507e-05,,,,ret_GC
Ridge,surp_consconfid_x_vix,2.4270054759880054e-06,,,,ret_GC
Ridge,surp_avghourlyearnmings_x_vix,5.6175778368279585e-06,,,,ret_GC
Ridge,surp_cpi_x_vix,5.122793333238548e-06,,,,ret_GC
Ridge,surp_tradebal_x_vix,-1.1795409736370197e-05,,,,ret_GC
Ridge,surp_indprod_x_vix,7.129514965898253e-05,,,,ret_GC
Fwd (Cp),surp_nfp,-0.0007912779048544711,0.0003120793296410222,-2.535502449856773,0.011364573016639084,ret_JPYUSD
Fwd (Cp),surp_unemp,0.0007127922223701426,0.00021011302571810172,3.392422815929845,0.0007171356925851731,ret_JPYUSD
Fwd (Cp),surp_retsailes,-0.0005051054678749782,0.000170218210070701,-2.9673997139623314,0.003067505749664174,ret_JPYUSD
Fwd (Cp),surp_cpi,-0.0004669379380055493,0.000197889469737073,-2.359589616496265,0.018467069284116663,ret_JPYUSD
Fwd (Cp),VIXCLS,0.0004673240275886138,0.0002770450945036297,1.6868157453785604,0.09191901285227207,ret_JPYUSD
Fwd (Cp),surp_unemp_x_vix,-0.0003542253092485048,0.0002478489701766872,-1.4291982290504728,0.15322786589963758,ret_JPYUSD
Fwd (Cp),surp_corecpi_x_vix,0.0002871855653860645,0.00016052930549028134,1.7889915147203517,0.0738880417860824,ret_JPYUSD
Fwd (Cp),surp_cpi_x_vix,-0.00040324018657261654,0.00013345742836343703,-3.0214892607888073,0.002572811069544625,ret_JPYUSD
Fwd (Cp),surp_indprod_x_vix,0.00017795676239469444,7.553125756825208e-05,2.3560677807315455,0.01864218969665496,ret_JPYUSD
Fwd (CV),surp_nfp,-0.0008161829742791754,0.0003015342283040656,-2.7067672511663936,0.006897489586704512,ret_JPYUSD
Fwd (CV),surp_unemp,0.0007025805746254427,0.0002106966045228666,3.3345604985731634,0.0008823268892710647,ret_JPYUSD
Bwd (Cp),surp_nfp,-0.0007912779048544711,0.0003120793296410222,-2.535502449856773,0.011364573016639084,ret_JPYUSD
Bwd (Cp),surp_unemp,0.0007127922223701426,0.00021011302571810172,3.392422815929845,0.0007171356925851731,ret_JPYUSD
Bwd (Cp),surp_retsailes,-0.0005051054678749782,0.000170218210070701,-2.9673997139623314,0.003067505749664174,ret_JPYUSD
Bwd (Cp),surp_cpi,-0.0004669379380055493,0.000197889469737073,-2.359589616496265,0.018467069284116663,ret_JPYUSD
Bwd (Cp),VIXCLS,0.0004673240275886138,0.0002770450945036297,1.6868157453785604,0.09191901285227207,ret_JPYUSD
Bwd (Cp),surp_unemp_x_vix,-0.0003542253092485048,0.0002478489701766872,-1.4291982290504728,0.15322786589963758,ret_JPYUSD
Bwd (Cp),surp_corecpi_x_vix,0.0002871855653860645,0.00016052930549028134,1.7889915147203517,0.0738880417860824,ret_JPYUSD
Bwd (Cp),surp_cpi_x_vix,-0.00040324018657261654,0.00013345742836343703,-3.0214892607888073,0.002572811069544625,ret_JPYUSD
Bwd (Cp),surp_indprod_x_vix,0.00017795676239469444,7.553125756825208e-05,2.3560677807315455,0.01864218969665496,ret_JPYUSD
Bwd (CV),surp_nfp,-0.0008161829742791754,0.0003015342283040656,-2.7067672511663936,0.006897489586704512,ret_JPYUSD
Bwd (CV),surp_unemp,0.0007025805746254427,0.0002106966045228666,3.3345604985731634,0.0008823268892710647,ret_JPYUSD
Ridge,surp_nfp,-5.457287996246522e-11,,,,ret_JPYUSD
Ridge,surp_unemp,4.437510577449626e-11,,,,ret_JPYUSD
Ridge,surp_corecpi,-1.702560632950564e-11,,,,ret_JPYUSD
Ridge,surp_gdp,-1.8897386939141764e-11,,,,ret_JPYUSD
Ridge,surp_retsailes,-4.0282670254841065e-11,,,,ret_JPYUSD
Ridge,surp_ism_pmi,-1.692292476258824e-11,,,,ret_JPYUSD
Ridge,surp_dgorders,-2.11650684411827e-12,,,,ret_JPYUSD
Ridge,surp_newhomesales,6.100769145509268e-13,,,,ret_JPYUSD
Ridge,surp_consconfid,2.243770529686386e-12,,,,ret_JPYUSD
Ridge,surp_avghourlyearnmings,1.2291820379842296e-12,,,,ret_JPYUSD
Ridge,surp_cpi,-3.7628729763015954e-11,,,,ret_JPYUSD
Ridge,surp_tradebal,-7.451457551907471e-12,,,,ret_JPYUSD
Ridge,surp_indprod,1.6505914138988266e-11,,,,ret_JPYUSD
Ridge,VIXCLS,4.03050803525455e-11,,,,ret_JPYUSD
Ridge,surp_nfp_x_vix,-1.2344363143317167e-11,,,,ret_JPYUSD
Ridge,surp_unemp_x_vix,-1.3980671592004776e-11,,,,ret_JPYUSD
Ridge,surp_corecpi_x_vix,9.060684623752394e-12,,,,ret_JPYUSD
Ridge,surp_gdp_x_vix,-9.686382458771636e-12,,,,ret_JPYUSD
Ridge,surp_retsailes_x_vix,-5.14933386609558e-11,,,,ret_JPYUSD
Ridge,surp_ism_pmi_x_vix,1.5923212578247746e-11,,,,ret_JPYUSD
Ridge,surp_dgorders_x_vix,8.741519952196231e-12,,,,ret_JPYUSD
Ridge,surp_newhomesales_x_vix,-3.5137245416247674e-13,,,,ret_JPYUSD
Ridge,surp_consconfid_x_vix,-1.831160339289402e-11,,,,ret_JPYUSD
Ridge,surp_avghourlyearnmings_x_vix,-5.461219671000068e-13,,,,ret_JPYUSD
Ridge,surp_cpi_x_vix,-5.193615688867153e-11,,,,ret_JPYUSD
Ridge,surp_tradebal_x_vix,-1.6483210331511186e-11,,,,ret_JPYUSD
Ridge,surp_indprod_x_vix,8.634516274748281e-11,,,,ret_JPYUSD
Lasso,surp_indprod_x_vix,2.237825905512412e-05,,,,ret_JPYUSD
Fwd (Cp),surp_ism_pmi,0.0008469002657194964,0.000547032218942997,1.548172550706281,0.12186478276866106,ret_XLE
Fwd (Cp),VIXCLS,-0.0024882929510389017,0.0012623230871373465,-1.971201332205504,0.04894805283948189,ret_XLE
Fwd (Cp),surp_corecpi_x_vix,0.0008585528998782698,0.0006505696682819527,1.3196940185446495,0.18720833424035255,ret_XLE
Fwd (Cp),surp_retsailes_x_vix,0.0017818133119276165,0.0007340804551238022,2.4272725141920786,0.015370539832639231,ret_XLE
Fwd (Cp),surp_avghourlyearnmings_x_vix,0.000984149374017842,0.0006054423000653096,1.6255048150941567,0.10433788496436551,ret_XLE
Fwd (Cp),surp_cpi_x_vix,-0.0009811040156845312,0.0004987517146906779,-1.9671190830752423,0.04941734368578854,ret_XLE
Fwd (Cp),surp_tradebal_x_vix,0.0007572444012328122,0.0005897984948068734,1.2839035838515798,0.1994426626560401,ret_XLE
Fwd (Cp),surp_indprod_x_vix,-0.0006094548718465585,0.00017878952862995817,-3.4087839288840636,0.0006758759213433066,ret_XLE
Bwd (Cp),surp_ism_pmi,0.0008469002657194964,0.000547032218942997,1.548172550706281,0.12186478276866106,ret_XLE
Bwd (Cp),VIXCLS,-0.0024882929510389017,0.0012623230871373465,-1.971201332205504,0.04894805283948189,ret_XLE
Bwd (Cp),surp_corecpi_x_vix,0.0008585528998782698,0.0006505696682819527,1.3196940185446495,0.18720833424035255,ret_XLE
Bwd (Cp),surp_retsailes_x_vix,0.0017818133119276165,0.0007340804551238022,2.4272725141920786,0.015370539832639231,ret_XLE
Bwd (Cp),surp_avghourlyearnmings_x_vix,0.000984149374017842,0.0006054423000653096,1.6255048150941567,0.10433788496436551,ret_XLE
Bwd (Cp),surp_cpi_x_vix,-0.0009811040156845312,0.0004987517146906779,-1.9671190830752423,0.04941734368578854,ret_XLE
Bwd (Cp),surp_tradebal_x_vix,0.0007572444012328122,0.0005897984948068734,1.2839035838515798,0.1994426626560401,ret_XLE
Bwd (Cp),surp_indprod_x_vix,-0.0006094548718465585,0.00017878952862995817,-3.4087839288840636,0.0006758759213433066,ret_XLE
Ridge,surp_nfp,8.746075329650196e-05,,,,ret_XLE
Ridge,surp_unemp,-1.1084371456662508e-05,,,,ret_XLE
Ridge,surp_corecpi,5.3427918245603186e-05,,,,ret_XLE
Ridge,surp_gdp,-2.3212597740268324e-05,,,,ret_XLE
Ridge,surp_retsailes,0.0001091947353202858,,,,ret_XLE
Ridge,surp_ism_pmi,0.00016328043053635718,,,,ret_XLE
Ridge,surp_dgorders,-2.5372035338842855e-06,,,,ret_XLE
Ridge,surp_newhomesales,-5.8317094355806186e-05,,,,ret_XLE
Ridge,surp_consconfid,-1.6277108876620454e-05,,,,ret_XLE
Ridge,surp_avghourlyearnmings,-0.00011895747227820478,,,,ret_XLE
Ridge,surp_cpi,-6.068030104888514e-06,,,,ret_XLE
Ridge,surp_tradebal,0.00011525315761648374,,,,ret_XLE
Ridge,surp_indprod,-0.00010468270118149081,,,,ret_XLE
Ridge,VIXCLS,-0.0004919173965862306,,,,ret_XLE
Ridge,surp_nfp_x_vix,-5.063150729919296e-05,,,,ret_XLE
Ridge,surp_unemp_x_vix,5.0996264796670726e-05,,,,ret_XLE
Ridge,surp_corecpi_x_vix,0.00015325252098941666,,,,ret_XLE
Ridge,surp_gdp_x_vix,-9.240505411649969e-05,,,,ret_XLE
Ridge,surp_retsailes_x_vix,0.0006965828755696699,,,,ret_XLE
Ridge,surp_ism_pmi_x_vix,0.00010178118954449436,,,,ret_XLE
Ridge,surp_dgorders_x_vix,-4.083168536098206e-06,,,,ret_XLE
Ridge,surp_newhomesales_x_vix,1.3785951383904772e-05,,,,ret_XLE
Ridge,surp_consconfid_x_vix,2.0757410000249857e-05,,,,ret_XLE
Ridge,surp_avghourlyearnmings_x_vix,0.00010330104448198413,,,,ret_XLE
Ridge,surp_cpi_x_vix,-0.0001675472918890492,,,,ret_XLE
Ridge,surp_tradebal_x_vix,0.00014444472024213799,,,,ret_XLE
Ridge,surp_indprod_x_vix,-0.0002805058007319517,,,,ret_XLE
Lasso,VIXCLS,-0.0003949424256760923,,,,ret_XLE
Lasso,surp_retsailes_x_vix,0.0010975714776538415,,,,ret_XLE
Lasso,surp_indprod_x_vix,-0.00013514960919436907,,,,ret_XLE
